state,district,pincode,region_key,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrolment,total_demographic,total_biometric,demo_to_enrol_ratio,bio_to_enrol_ratio
assam,bajali,781313,assam_bajali_781313,2025-01,0,1,0,0,2,0,0,1,2,0,0.2,0
assam,bajali,781313,assam_bajali_781313,2025-02,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781313,assam_bajali_781313,2025-03,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781313,assam_bajali_781313,2025-04,0,0,0,2,2,0,0,0,4,0,0.4,0
assam,bajali,781313,assam_bajali_781313,2025-05,0,0,0,0,8,0,0,0,8,0,0.8,0
assam,bajali,781313,assam_bajali_781313,2025-06,0,0,0,0,3,0,0,0,3,0,0.3,0
assam,bajali,781313,assam_bajali_781313,2025-07,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781313,assam_bajali_781313,2025-08,1,0,0,0,1,0,0,1,1,0,0.1,0
assam,bajali,781313,assam_bajali_781313,2025-09,0,0,0,1,0,0,0,0,1,0,0.1,0
assam,bajali,781313,assam_bajali_781313,2025-12,0,0,0,0,3,0,0,0,3,0,0.3,0
assam,bajali,781316,assam_bajali_781316,2025-01,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781316,assam_bajali_781316,2025-03,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781316,assam_bajali_781316,2025-04,0,0,0,0,2,0,1,0,2,1,0.2,0.1
assam,bajali,781316,assam_bajali_781316,2025-05,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781316,assam_bajali_781316,2025-06,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781316,assam_bajali_781316,2025-09,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781316,assam_bajali_781316,2025-10,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781316,assam_bajali_781316,2025-11,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781317,assam_bajali_781317,2025-05,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781318,assam_bajali_781318,2025-01,0,0,0,0,9,0,0,0,9,0,0.9,0
assam,bajali,781318,assam_bajali_781318,2025-02,0,0,0,0,12,0,0,0,12,0,1.2,0
assam,bajali,781318,assam_bajali_781318,2025-03,0,0,0,0,2,0,2,0,2,2,0.2,0.2
assam,bajali,781318,assam_bajali_781318,2025-04,0,0,0,0,8,0,0,0,8,0,0.8,0
assam,bajali,781318,assam_bajali_781318,2025-05,0,0,0,0,16,0,0,0,16,0,1.6,0
assam,bajali,781318,assam_bajali_781318,2025-06,0,0,0,0,6,0,0,0,6,0,0.6,0
assam,bajali,781318,assam_bajali_781318,2025-07,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781318,assam_bajali_781318,2025-08,0,0,0,0,12,0,0,0,12,0,1.2,0
assam,bajali,781318,assam_bajali_781318,2025-09,0,0,0,0,3,0,0,0,3,0,0.3,0
assam,bajali,781318,assam_bajali_781318,2025-10,0,0,0,0,7,0,0,0,7,0,0.7,0
assam,bajali,781318,assam_bajali_781318,2025-11,0,0,0,1,7,0,0,0,8,0,0.8,0
assam,bajali,781318,assam_bajali_781318,2025-12,0,1,0,0,13,0,0,1,13,0,1.3,0
assam,bajali,781325,assam_bajali_781325,2025-01,0,0,0,2,11,0,2,0,13,2,1.3,0.2
assam,bajali,781325,assam_bajali_781325,2025-02,0,0,0,0,5,0,0,0,5,0,0.5,0
