state,district,pincode,region_key,total_enrolment,total_demographic,total_biometric
assam,bajali,781313,assam_bajali_781313,2.0,30.0,0.0
assam,bajali,781316,assam_bajali_781316,0.0,14.0,1.0
assam,bajali,781317,assam_bajali_781317,0.0,1.0,0.0
assam,bajali,781318,assam_bajali_781318,1.0,100.0,2.0
assam,bajali,781325,assam_bajali_781325,4.0,124.0,3.0
assam,bajali,781326,assam_bajali_781326,1.0,26.0,2.0
assam,bajali,781328,assam_bajali_781328,0.0,26.0,1.0
assam,bajali,781329,assam_bajali_781329,0.0,26.0,1.0
assam,bajali,781352,assam_bajali_781352,1.0,12.0,2.0
assam,bajali,781355,assam_bajali_781355,0.0,17.0,0.0
assam,bajali,781371,assam_bajali_781371,0.0,3.0,0.0
assam,bajali,781375,assam_bajali_781375,3.0,33.0,1.0
assam,baksa,781312,assam_baksa_781312,0.0,1.0,0.0
assam,baksa,781313,assam_baksa_781313,1.0,2.0,0.0
assam,baksa,781315,assam_baksa_781315,295.0,817.0,3441.0
assam,baksa,781316,assam_baksa_781316,2.0,18.0,10.0
assam,baksa,781318,assam_baksa_781318,8.0,171.0,185.0
assam,baksa,781325,assam_baksa_781325,0.0,3.0,2.0
assam,baksa,781327,assam_baksa_781327,28.0,1044.0,906.0
assam,baksa,781328,assam_baksa_781328,3.0,143.0,81.0
assam,baksa,781329,assam_baksa_781329,7.0,36.0,90.0
assam,baksa,781330,assam_baksa_781330,10.0,113.0,238.0
assam,baksa,781333,assam_baksa_781333,19.0,321.0,327.0
assam,baksa,781340,assam_baksa_781340,8.0,28.0,29.0
assam,baksa,781343,assam_baksa_781343,21.0,282.0,389.0
assam,baksa,781344,assam_baksa_781344,177.0,626.0,546.0
assam,baksa,781346,assam_baksa_781346,81.0,510.0,872.0
assam,baksa,781349,assam_baksa_781349,28.0,324.0,395.0
assam,baksa,781355,assam_baksa_781355,4.0,80.0,137.0
assam,baksa,781360,assam_baksa_781360,456.0,1761.0,1493.0
assam,baksa,781366,assam_baksa_781366,0.0,2.0,2.0
assam,baksa,781367,assam_baksa_781367,371.0,1216.0,1107.0
